ssn,ad,soyad,yaş,cinsiyet,ekipadı,maas,calisantipi
123-28-6693,Ave,Mainstone,24,M,Mauv,,Stajyer
790-70-4559,Warren,Pachta,20,M,Mauv,,Stajyer
175-81-0862,Seka,Patmore,22,F,Mauv,,Stajyer
259-38-3805,Fraser,Badham,22,M,Mauv,,Stajyer
502-01-3889,Shaun,Budden,22,F,Teal,,Stajyer
380-01-8869,Tanney,Rugiero,21,M,Pink,,Stajyer
510-52-7654,Jillie,Mogie,23,F,Pink,,Stajyer
208-43-7833,Judith,Leverson,23,F,Crimson,,Stajyer
581-14-2346,Jule,Suscens,25,M,Aquamarine,,Stajyer
294-18-9376,Charmaine,Gylle,22,F,Fuscia,,Stajyer
129-75-1175,Magda,Yuill,24,F,Fuscia,,Stajyer
418-27-4741,Nathanil,MacCumiskey,30,M,Mauv,9140.0,Maasli
238-51-3718,Peria,Pimlott,28,F,Mauv,9556.0,Maasli
234-12-6829,Grant,Scherer,34,M,Mauv,8072.0,Maasli
774-36-4715,Jacintha,Shepland,41,F,Teal,6300.0,Maasli
583-56-1733,Daven,Dictus,28,M,Teal,8288.0,Maasli
416-25-8769,Darice,Frise,32,F,Teal,8524.0,Maasli
535-60-1999,Gwendolen,Janic,33,F,Teal,7412.0,Maasli
732-85-2022,Ariel,Hearons,33,M,Pink,8596.0,Maasli
298-89-2588,Hi,McClifferty,25,M,Violet,,Stajyer
207-13-3758,Leonard,Joanic,31,M,Violet,176200.0,Maasli
166-43-7912,Maximilianus,Coaker,40,M,Violet,197100.0,Maasli
858-79-9165,Ulick,Champion,28,M,Violet,183800.0,Maasli
307-50-9221,Basilio,McCarlie,35,M,Violet,174800.0,Maasli
535-65-0263,Aldwin,Goodboddy,33,M,Violet,246200.0,Maasli
815-50-0245,Curcio,Elkington,45,M,Pink,8036.0,Maasli
555-72-2551,Roarke,Futty,46,M,Pink,9924.0,Maasli
153-08-9822,Reid,Allport,41,M,Crimson,6700.0,Maasli
231-49-7354,Luke,Godfree,48,M,Crimson,6932.0,Maasli
828-14-8908,Suzann,Longfellow,35,F,Crimson,8116.0,Maasli
321-24-1338,Gherardo,Kennerley,39,M,Crimson,8412.0,Maasli
530-96-4632,Sergent,Clausson,47,M,Aquamarine,9940.0,Maasli
426-79-3805,Teddie,Waszczykowski,49,M,Aquamarine,7224.0,Maasli
884-16-6504,Levin,McGillreich,43,M,Aquamarine,7352.0,Maasli
359-58-9438,Rodolph,Kirkup,40,M,Fuscia,8092.0,Maasli
