ssn,ad,soyad,yaş,cinsiyet,ekipadı,maas,calisantipi
380-01-8869,Tanney,Rugiero,21.0,M,ekibi yok,,Stajyer
581-14-2346,Jule,Suscens,25.0,M,ekibi yok,,Stajyer
298-89-2588,Hi,McClifferty,25.0,M,ekibi yok,,Stajyer
129-75-1175,Magda,Yuill,20.0,F,ekibi yok,,Stajyer
510-52-7654,Jillie,Mogie,20.0,F,ekibi yok,,Stajyer
208-43-7833,Judith,Leverson,20.0,F,ekibi yok,,Stajyer
502-01-3889,Shaun,Budden,1000.0,F,ekibi yok,,Stajyer
294-18-9376,Charmaine,Gylle,1000.0,F,ekibi yok,,Stajyer
259-38-3805,Fraser,Badham,1000.0,M,ekibi yok,7000.0,Stajyer
418-27-4741,Nathanil,MacCumiskey,30.0,M,ekibi yok,3.0,Maasli
238-51-3718,Peria,Pimlott,28.0,F,ekibi yok,3.0,Maasli
234-12-6829,Grant,Scherer,34.0,M,ekibi yok,3.0,Maasli
774-36-4715,Jacintha,Shepland,41.0,F,ekibi yok,3.0,Maasli
583-56-1733,Daven,Dictus,28.0,M,ekibi yok,3.0,Maasli
416-25-8769,Darice,Frise,32.0,F,ekibi yok,3.0,Maasli
535-60-1999,Gwendolen,Janic,33.0,F,ekibi yok,3.0,Maasli
732-85-2022,Ariel,Hearons,33.0,M,ekibi yok,3.0,Maasli
207-13-3758,Leonard,Joanic,31.0,M,ekibi yok,3.0,Maasli
166-43-7912,Maximilianus,Coaker,40.0,M,ekibi yok,3.0,Maasli
307-50-9221,Basilio,McCarlie,35.0,M,ekibi yok,3.0,Maasli
535-65-0263,Aldwin,Goodboddy,33.0,M,ekibi yok,3.0,Maasli
815-50-0245,Curcio,Elkington,45.0,M,ekibi yok,3.0,Maasli
555-72-2551,Roarke,Futty,46.0,M,ekibi yok,3.0,Maasli
153-08-9822,Reid,Allport,41.0,M,ekibi yok,3.0,Maasli
231-49-7354,Luke,Godfree,48.0,M,ekibi yok,3.0,Maasli
828-14-8908,Suzann,Longfellow,35.0,F,ekibi yok,3.0,Maasli
321-24-1338,Gherardo,Kennerley,39.0,M,ekibi yok,3.0,Maasli
530-96-4632,Sergent,Clausson,47.0,M,ekibi yok,3.0,Maasli
426-79-3805,Teddie,Waszczykowski,49.0,M,ekibi yok,3.0,Maasli
884-16-6504,Levin,McGillreich,43.0,M,ekibi yok,3.0,Maasli
359-58-9438,Rodolph,Kirkup,40.0,M,ekibi yok,3.0,Maasli
